,subj,DDF,DIF,EOT,TAS20,AFF,COG,BESA,warmth,dominance
0,1,15,19,11,45,27,28,55,-0.5773905637298351,-2.597306188177268
1,2,13,25,12,50,54,41,95,-0.8060710951877204,2.207722088909742
2,3,17,22,29,68,37,27,64,0.8719089487272856,4.0867067552570795
3,4,15,16,10,41,48,35,83,2.991522726065641,-5.39016708142167
4,5,10,11,12,33,34,39,73,-1.142062416532983,0.13018767729586822
5,6,16,28,11,55,51,34,85,1.2488168284919543,4.88914291935829
6,7,16,9,17,42,29,33,62,-4.105559776931645,-6.537557442893913
7,8,9,12,21,42,41,34,75,3.413717616332734,3.502247836769547
8,9,10,18,13,41,43,33,76,-1.5454796869943475,-0.8237478234900814
9,10,14,14,13,41,40,32,72,-1.2704963841245247,-3.9449462437922733
10,11,14,14,15,43,33,36,69,2.038523883621382,0.49816150338470766
11,12,18,15,9,42,37,33,70,0.11421582884885523,-2.615623484894018
12,13,7,14,11,32,40,37,77,1.9167385929789285,-3.6806023882577796
13,14,17,20,13,50,41,31,72,2.4555022556780033,0.9667540118751031
14,15,19,30,18,67,48,30,78,0.4817702627040288,-3.475957752611116
15,16,17,18,18,53,42,32,74,-2.894151437911468,2.864432465432685
16,17,21,20,16,57,44,34,78,-1.7031851038371102,-4.404595941064163
17,18,7,14,22,43,33,28,61,0.23670561366319087,7.776314898389912
18,19,14,17,13,44,39,35,74,-2.6784782819756927,2.003629212671909
19,20,11,18,17,46,44,37,81,3.6134642577766742,2.379307755358513
20,21,16,24,20,60,24,39,63,-0.3543869871909705,0.9628072344325909
21,22,18,32,16,66,27,36,63,-4.259789895592272,3.386039793969696
22,23,21,18,8,47,30,37,67,2.0630640061827403,-4.163951816157935
23,24,13,23,25,61,35,35,70,-0.10889919106284196,1.981002009654579
